"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1877683639900938376","Fri Jan 10 23:50:36 +0000 2025","0","@unmagnetism Guwa mlh pnasaran gmn cara maennya ala patrick kluivert...pmctn hl yg biyasa di sepakbola Mou aja dipecat MU walopun dh ngasi gelar...woless aja gan...","1877865659708661779","","unmagnetism","in","","0","0","0","https://x.com/donmlengos/status/1877865659708661779","1479312146227818498","donmlengos"
"1877344762237211011","Fri Jan 10 23:49:55 +0000 2025","0","@augusta_tehe @iam_romans @garagarabola_ @bolacomID Kita jadi pendukung timnas bukan pendukung pemain atau pelatih. Pilihan pelatih pengganti yg Patrick Kluivert ini ya emang aneh bgt tapi blm nglatih udah dihujat plus nyembah2 STY yo aneh.","1877865485515252096","","ycamdg","in","Sleman","0","1","0","https://x.com/ycamdg/status/1877865485515252096","1727049552","ycamdg"
"1877865070635442583","Fri Jan 10 23:48:16 +0000 2025","0","[BREAKING NEWS] Eksklusif tvOne Detik-detik Patrick Kluivert Terbang Me... https://t.co/o6scvSaWfW lewat @YouTube","1877865070635442583","","","in","","0","0","0","https://x.com/SyamsirHMSyari2/status/1877865070635442583","1330435611430440962","SyamsirHMSyari2"
"1877863086398603643","Fri Jan 10 23:40:23 +0000 2025","0","Patrick Kluivert Sampai di Indonesia Hari Ini! https://t.co/nEzyxmvVKJ https://t.co/VwDcKMePrv","1877863086398603643","https://pbs.twimg.com/media/Gg-ChmJaQAAB1J7.jpg","","in","Jakarta","0","0","0","https://x.com/holopiscom/status/1877863086398603643","1366400664960573441","holopiscom"
"1877498752279494688","Fri Jan 10 23:29:13 +0000 2025","0","@kalibrant23 @ainurohman Perlu adanya pertandingan ujicoba untuk melihat taktik Dan strateginya Patrick kluivert Dan asisten2nya juga supaya paham skill Dan fisik pemain2 sepakbola Indonesia. Misalkan Patrick kluivert pegang U22 Piala AFF 24 Vs coach Indra Safri+ coach Nova pegang Timnas u20.","1877860277598998923","","kalibrant23","in","Jakarta Capital Region","0","0","0","https://x.com/BungOfy/status/1877860277598998923","341510748","BungOfy"
"1877857444602446149","Fri Jan 10 23:17:58 +0000 2025","0","Pelatih Baru Timnas Indonesia Patrick Kluivert Dikabarkan Tiba di Jakarta Petang Ini https://t.co/ljyd5Yp44G","1877857444602446149","https://pbs.twimg.com/media/Gg99U__aoAA3PHX.jpg","","in","","0","0","0","https://x.com/LigaIDN_Sbobet/status/1877857444602446149","1639732009278009346","LigaIDN_Sbobet"
"1877856697961554048","Fri Jan 10 23:15:00 +0000 2025","0","Peri Sandria Minta Patrick Kluivert Jangan Ikuti Langkah Shin Tae-yong Ini di Timnas Indonesia https://t.co/RvzPghgZ86","1877856697961554048","","","in","Jakarta","0","0","0","https://x.com/okezonenews/status/1877856697961554048","47274731","okezonenews"
"1877849525823631810","Fri Jan 10 22:46:30 +0000 2025","1","Inilah 3 Faktor Penting yang Harus Diperhatikan Patrick Kluivert Menghadapi Debutnya bersama Timnas Garuda https://t.co/mcjyMHoi9n @kompasiana @kompascom","1877849525823631810","","","in","Bandung-Indonesia","0","0","0","https://x.com/hensa17/status/1877849525823631810","1376661386","hensa17"
"1877838383130595716","Fri Jan 10 22:02:13 +0000 2025","12","Patrick Kluivert sudah menjadi pelatih Timnas Indonesia yang baru. Pelatih 48 tahun itu membahas gairah besar di sepakbola Tanah Air. https://t.co/KwVEDo2Wt2","1877838383130595716","","","in","Jakarta","0","0","1","https://x.com/detiksport/status/1877838383130595716","135783107","detiksport"
"1877773862978343334","Fri Jan 10 20:59:28 +0000 2025","9","@firzieidris Kalau target timnas gak sesuai harapan Patrick Kluivert dipecat yang gantiin dia boleh juga si.","1877822589542011175","","firzieidris","in","London, England","0","0","0","https://x.com/ormaslondon/status/1877822589542011175","1219042219820118017","ormaslondon"
